trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
113,False,"{'a': 0.01, 'e': 0.8849557522123893}",25,-20,-193.68509125824806,"{0: 31, 1: 0, 2: 10, 3: 1, 4: 3}",0
114,False,"{'a': 0.01, 'e': 0.8771929824561403}",30,-62,-469.0250630135515,"{0: 53, 1: 8, 2: 20, 3: 6, 4: 5}",0
115,False,"{'a': 0.01, 'e': 0.8695652173913042}",25,-68,-396.1845039858791,"{0: 63, 1: 5, 2: 16, 3: 3, 4: 6}",0
116,False,"{'a': 0.01, 'e': 0.8620689655172414}",25,-25,-307.05649469307855,"{0: 26, 1: 8, 2: 10, 3: 2, 4: 4}",0
117,False,"{'a': 0.01, 'e': 0.8547008547008548}",20,-100,-693.2472878361264,"{0: 75, 1: 8, 2: 21, 3: 5, 4: 11}",0
118,False,"{'a': 0.01, 'e': 0.8474576271186441}",20,-43,-294.0387237838822,"{0: 43, 1: 3, 2: 8, 3: 5, 4: 4}",0
119,False,"{'a': 0.01, 'e': 0.8403361344537815}",25,-8,-216.7946441589701,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 4}",0
120,False,"{'a': 0.01, 'e': 0.8333333333333334}",20,6,-10.089230389729751,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.8264462809917356}",20,-75,-417.787351760534,"{0: 57, 1: 10, 2: 19, 3: 5, 4: 4}",0
122,False,"{'a': 0.01, 'e': 0.819672131147541}",30,-15,-97.30927903584494,"{0: 36, 1: 2, 2: 4, 3: 1, 4: 2}",0
123,False,"{'a': 0.01, 'e': 0.8130081300813008}",30,-32,-55.99142353414882,"{0: 49, 1: 3, 2: 8, 3: 2, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.8064516129032259}",25,-10,-180.9890636239937,"{0: 21, 1: 1, 2: 9, 3: 2, 4: 2}",0
125,False,"{'a': 0.01, 'e': 0.8}",20,5,5.906455985600585,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.7936507936507936}",30,-58,-346.68056643987336,"{0: 62, 1: 6, 2: 12, 3: 1, 4: 7}",0
127,False,"{'a': 0.01, 'e': 0.7874015748031495}",20,6,-25.182003110489934,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.78125}",25,-38,-152.29985451028523,"{0: 47, 1: 4, 2: 8, 3: 2, 4: 2}",0
